,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
3094,Tweet,tasionite,6204,3047,118,36975,,,,tasionite,1976,1577,301,49393,,,
3095,RT,bigmack600,11452,12066,0,45439,,,,mpukita,62740,67242,17,68882,,,
3096,RT,leight0nn,2858,712,117,19352,,,,delphix,16877,2758,332,7605,,,
3097,Tweet,nodeselector,109,156,5,64,,,,nodeselector,16877,2758,332,7605,,,
3098,RT,PrideHome3,473,463,4,11553,,,,mpukita,62740,67242,17,68882,,,
3099,RT,4_RedWhiteBlue,8612,8629,1,38060,,,,mpukita,62740,67242,17,68882,,,
3100,RT,JDPHD2,15005,15131,0,10933,,,,mpukita,62740,67242,17,68882,,,
3101,Tweet,BonetFrankie,94,225,2,2198,,,,BonetFrankie,62740,67242,17,68882,,,
3102,Tweet,FernyChien,2541,567,197,31820,,,,FernyChien,62740,67242,17,68882,,,
3103,Tweet,JMcFeelTheBern,201,568,0,433,,,,JMcFeelTheBern,62740,67242,17,68882,,,
3104,RT,zappa717,107,173,2,88,,,,DigitalLeft,34769,1166,447,23533,,,
3105,RT,Abraxas444,1256,884,108,5847,,,,CalvinBastiat,1780,934,8,4921,,,
3106,RT,goburch,7557,7360,158,146823,,,,freenaynow,46932,51280,45,290635,,,
3107,RT,jfs7817,57,129,31,2070,,,,delphix,16877,2758,332,7605,,,
3108,RT,Abraxas444,1256,884,108,5847,,,,AlexBrooklynH,22,82,1,19139,,,
3109,RT,SherrySLewis2,4724,4290,2,65272,,,,mpukita,62740,67242,17,68882,,,
3110,RT,PrideHome4,476,321,1,7090,,,,mpukita,62740,67242,17,68882,,,
3111,Tweet,WillSchoen517,71,201,0,2432,,,,WillSchoen517,62740,67242,17,68882,,,
3112,RT,strain_dan,1273,2441,4,18967,,,,mpukita,62740,67242,17,68882,,,
3113,RT,SoulSentiments,2697,202,37,20149,,,,IAmSophiaNelson,62059,994,904,288068,,,
3114,RT,Nyree5,2136,2273,2,16605,,,,mpukita,62740,67242,17,68882,,,
3115,RT,HoToddi,34591,35128,8,118027,,,,mpukita,62740,67242,17,68882,,,
3116,RT,BaconSarnie4,143,240,0,317,,,,mikandynothem,221978,115063,1484,86864,,,
3117,Tweet,melymbrosia86,300,483,1,2224,,,,melymbrosia86,221978,115063,1484,86864,,,
3118,Tweet,SilverBulletLLC,1157,4780,29,26587,,,,SilverBulletLLC,221978,115063,1484,86864,,,
3119,Tweet,Electric_Erik,385,912,11,4592,,,,Electric_Erik,221978,115063,1484,86864,,,
3120,RT,CollumClinton,185,489,4,12602,,,,ThPnyx,2502,2569,16,11981,,,
3121,RT,rookee_baekr,679,1079,20,163909,,,,BrandNew535,43019,1304,465,7521,,,
3122,RT,NevadaElJefe,75761,78140,33,172064,,,,mpukita,62740,67242,17,68882,,,
3123,RT,4wilt,56,20,0,14534,,,,Jimpeeps12,298,506,10,14185,,,
3124,RT,thewordygecko,384,1177,4,8548,,,,ThPnyx,2502,2569,16,11981,,,
3125,RT,yoaton,1067,837,15,183627,,,,C_Corday,254,997,7,1412,,,
3126,RT,RealSteveCox,7637,4243,143,91819,,,,ThPnyx,2502,2569,16,11981,,,
3127,RT,Galliente1,249,489,0,4480,,,,Cimarron_Ranch,43397,43341,62,16580,,,
3128,Tweet,ThPnyx,2502,2569,16,11981,,,,ThPnyx,43397,43341,62,16580,,,
3129,Tweet,alexrulez,105,113,15,1896,,,,alexrulez,43397,43341,62,16580,,,
3130,RT,diogene2607,10578,3928,254,273194,,,,C_Corday,254,997,7,1412,,,
3131,RT,AngelaMBennett,178,1315,1,10664,,,,BrandNew535,43019,1304,465,7521,,,
3132,RT,BrendonOConnor9,678,776,15,2468,,,,2ser,12437,2855,305,38482,,,
3133,Tweet,01000011CS,3387,3376,208,120766,,,,01000011CS,12437,2855,305,38482,,,
3134,RT,SpeedBeatz,2114,1386,90,78056,,,,FennecBabe,48,300,1,1514,,,
3135,RT,kingofsweaters,85,228,0,1423,,,,FennecBabe,48,300,1,1514,,,
