,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
393,Tweet,MacfarmaldsDarn,21,73,2,5629,,,,MacfarmaldsDarn,3143,2254,2,1630,,,
394,Tweet,lizlovespilates,117,1279,0,2321,,,,lizlovespilates,3143,2254,2,1630,,,
395,RT,nelsnelson,302,1547,15,4746,,,,GodelieveTT,2144,1597,78,52787,,,
396,RT,preciousliberty,9136,4464,261,171656,,,,RealJamesWoods,2217567,5014,8977,28563,,,
397,Tweet,Chillerish,213,559,2,2121,,,,Chillerish,2217567,5014,8977,28563,,,
398,RT,teambernie27001,5613,5598,75,128172,,,,ProudResister,375752,58338,1986,53719,,,
399,RT,HersheSquirt,17082,10558,119,24180,,,,Tiffany83_,15813,5606,31,35220,,,
400,Tweet,israelsdaily,486,472,16,1928,,,,israelsdaily,15813,5606,31,35220,,,
401,RT,Orlando19009552,1573,1751,2,23201,,,,IpamsySands,3143,2254,2,1630,,,
402,RT,TammieBarrett16,279,323,1,34818,,,,IpamsySands,3143,2254,2,1630,,,
403,RT,ShannonTtexas,3269,3089,2,36758,,,,IpamsySands,3143,2254,2,1630,,,
404,RT,kindwithspine,1889,2891,1,1661,,,,IpamsySands,3143,2254,2,1630,,,
405,Tweet,CesarInTheHouse,580,624,4,1604,,,,CesarInTheHouse,3143,2254,2,1630,,,
406,RT,TombStoneWyatt,48372,30273,24,113273,,,,IpamsySands,3143,2254,2,1630,,,
407,RT,beingray,665,2359,9,12937,,,,BichonSnuggles,3091,4505,5,24097,,,
408,Tweet,ThomasWayneCol3,0,0,0,2625,,,,ThomasWayneCol3,3091,4505,5,24097,,,
409,Tweet,verycosmic,1244,110,61,30050,,,,verycosmic,3091,4505,5,24097,,,
410,RT,jackox48,1760,3828,4,107914,,,,GodelieveTT,2144,1597,78,52787,,,
411,RT,ProgressiveSav,18,71,0,6399,,,,DVDV60441667,106,177,0,1818,,,
412,Tweet,iamaswanbell,640,1134,15,3032,,,,iamaswanbell,106,177,0,1818,,,
413,RT,MaddenSatire,81,2,0,630,,,,MaddenSatire,81,2,0,630,,,
414,Tweet,BichonSnuggles,3091,4505,5,24097,,,,BichonSnuggles,81,2,0,630,,,
415,Tweet,askariali,328,736,3,8480,,,,askariali,81,2,0,630,,,
416,Tweet,JeremyWard33,2481,4215,101,54719,,,,JeremyWard33,81,2,0,630,,,
417,RT,chattycatthy,3679,2290,62,46699,,,,JessieJaneDuff,225691,56835,1518,116565,,,
418,Tweet,IzzyBolden,627,464,2,8526,,,,IzzyBolden,225691,56835,1518,116565,,,
419,RT,LindaKelehan2,3056,5003,1,3428,,,,Nana_MAGA2020,4236,4994,3,55794,,,
420,RT,Nana_MAGA2020,4236,4994,3,55794,,,,Nana_MAGA2020,4236,4994,3,55794,,,
421,RT,01splcheck,6232,5138,55,241684,,,,RealJamesWoods,2217567,5014,8977,28563,,,
422,Tweet,MacfarmaldsDarn,21,73,2,5629,,,,MacfarmaldsDarn,2217567,5014,8977,28563,,,
423,RT,gbroh10,63159,46734,179,378953,,,,IpamsySands,3143,2254,2,1630,,,
424,Tweet,GeniusWithNoJob,290,441,5,42827,,,,GeniusWithNoJob,3143,2254,2,1630,,,
425,Tweet,MaddenSatire,81,2,0,630,,,,MaddenSatire,3143,2254,2,1630,,,
426,Tweet,MacfarmaldsDarn,21,73,2,5629,,,,MacfarmaldsDarn,3143,2254,2,1630,,,
427,RT,_SkyIsHere,31,202,6,15872,,,,reaIChapo,17,19,0,46,,,
428,RT,StaceyM78844177,3745,5003,1,23116,,,,IpamsySands,3143,2254,2,1630,,,
429,RT,FishMaki,512,1153,0,21905,,,,j_gelling,27911,25723,58,28149,,,
430,Tweet,Elvis_BC92,34,54,2,1419,,,,Elvis_BC92,27911,25723,58,28149,,,
431,Tweet,masterstuff2,822,87,22,77802,,,,masterstuff2,27911,25723,58,28149,,,
432,Tweet,DanniLong4,1433,3216,3,18877,,,,DanniLong4,27911,25723,58,28149,,,
433,Tweet,GeniusWithNoJob,290,441,5,42827,,,,GeniusWithNoJob,27911,25723,58,28149,,,
434,RT,MMangoz,4370,5001,28,58862,,,,JessieJaneDuff,225691,56835,1518,116565,,,
435,RT,PmKatstacejoc,3126,4203,1,3364,,,,JulianSvendsen,71439,50333,174,6679,,,
436,Tweet,ArbiterAnubis,3619,4995,237,86000,,,,ArbiterAnubis,71439,50333,174,6679,,,
437,RT,robjh1,58083,32771,169,246669,,,,IpamsySands,3143,2254,2,1630,,,
438,RT,Kate930783911,5894,5996,32,185615,,,,IpamsySands,3143,2254,2,1630,,,
439,RT,Red_PilledMaga,4376,4646,3,31494,,,,IpamsySands,3143,2254,2,1630,,,
440,RT,mdg822,723,889,2,10886,,,,JulianSvendsen,71439,50333,174,6679,,,
441,RT,SickOfTheSwamp,62921,65940,42,115992,,,,IpamsySands,3143,2254,2,1630,,,
442,RT,mstevens003,3529,3726,0,2401,,,,JulianSvendsen,71439,50333,174,6679,,,
443,RT,DavidB65099072,82,394,0,372,,,,JulianSvendsen,71439,50333,174,6679,,,
444,RT,noleslimreaper,2061,2580,8,51945,,,,IpamsySands,3143,2254,2,1630,,,
445,RT,CaMaSk,1398,2176,37,50314,,,,TabithaK,8501,1559,91,4144,,,
446,RT,ImmoralReport,33301,31346,1497,1216095,,,,MichaelOwenTSD,636,4990,13,5793,,,
447,Tweet,MichaelOwenTSD,636,4990,13,5793,,,,MichaelOwenTSD,636,4990,13,5793,,,
448,RT,RangerAragorn,40,311,0,1224,,,,reaIChapo,17,19,0,46,,,
449,RT,robjh1,58083,32771,169,246669,,,,JessieJaneDuff,225691,56835,1518,116565,,,
450,RT,valmosc1,13624,14942,5,41086,,,,JulianSvendsen,71439,50333,174,6679,,,
451,RT,ASnowyShip,44,142,2,16979,,,,GodelieveTT,2144,1597,78,52787,,,
452,RT,bgood12345,80236,26747,70,369585,,,,PatriotBluesT,43161,42653,10,155519,,,
453,RT,zombieloni,291,434,1,33827,,,,RT_com,3067296,618,22876,335607,,,
454,RT,bigdaddybuckhoe,12212,13329,2,10012,,,,JulianSvendsen,71439,50333,174,6679,,,
455,Tweet,dtt170,10307,9353,130,64323,,,,dtt170,71439,50333,174,6679,,,
456,RT,TavYork,26,174,0,873,,,,TabithaK,8501,1559,91,4144,,,
457,RT,Gerardofdz13,97,360,0,3256,,,,People4Bernie,180749,1468,1448,114430,,,
458,RT,pvnndr,271,1109,0,9589,,,,RealJamesWoods,2217567,5014,8977,28563,,,
459,RT,mae_linna,9061,9309,6,54315,,,,JulianSvendsen,71439,50333,174,6679,,,
460,RT,mydakini,7371,7032,209,41448,,,,maisumnasopa,39,273,1,2000,,,
461,RT,SherriGold5,855,1020,1,1521,,,,IpamsySands,3143,2254,2,1630,,,
462,RT,Consofcooking1,12043,11314,6,83233,,,,JulianSvendsen,71439,50333,174,6679,,,
463,RT,americawinskag,4515,4994,1,6959,,,,JulianSvendsen,71439,50333,174,6679,,,
464,RT,Thaddeus098765,660,659,1,8034,,,,JulianSvendsen,71439,50333,174,6679,,,
465,Tweet,MrTFE,27,77,2,991,,,,MrTFE,71439,50333,174,6679,,,
466,RT,dmartinca57,11578,11943,4,45505,,,,JulianSvendsen,71439,50333,174,6679,,,
467,RT,NICKtheNAILER,181,417,12,76653,,,,reaIChapo,17,19,0,46,,,
468,RT,bryanmink15,541,781,4,26460,,,,reaIChapo,17,19,0,46,,,
469,Tweet,JoeyBackbar,499,609,0,5410,,,,JoeyBackbar,17,19,0,46,,,
470,Tweet,GuyAPerson,50,32,2,6225,,,,GuyAPerson,17,19,0,46,,,
471,RT,ElisaStandridge,1133,1307,44,25048,,,,ChristyDopf,2660,861,13,13965,,,
472,RT,fleoni757,4740,4928,11,106639,,,,IpamsySands,3143,2254,2,1630,,,
473,RT,Kintu3,31320,32761,27,278469,,,,isawthat9,5347,5621,1,26945,,,
474,RT,Ginalolaknits,38005,36676,4,90805,,,,IpamsySands,3143,2254,2,1630,,,
475,RT,santiamtwit,6769,7448,24,169008,,,,w_terrence,765152,627,2058,4266,,,
476,Tweet,SA3886,819,1571,26,31194,,,,SA3886,765152,627,2058,4266,,,
477,RT,mshaw8730,505,1196,2,3077,,,,reaIChapo,17,19,0,46,,,
478,Tweet,jserb,12717,12934,71,29349,,,,jserb,17,19,0,46,,,
479,Tweet,MattMoomau,264,492,3,3247,,,,MattMoomau,17,19,0,46,,,
480,RT,rb4775,456,98,17,83577,,,,starknightz,22038,23888,222,261524,,,
481,RT,cochran_bob,5496,5301,72,114242,,,,IpamsySands,3143,2254,2,1630,,,
482,RT,RR2sand,76,114,0,26569,,,,RealJamesWoods,2217567,5014,8977,28563,,,
483,RT,LeonFunking,1060,978,7,23785,,,,reaIChapo,17,19,0,46,,,
484,Tweet,shuthefrontdoor,1631,1453,5,5912,,,,shuthefrontdoor,17,19,0,46,,,
485,RT,Solutioneer72,9772,6278,464,1057275,,,,Solutioneer72,9772,6278,464,1057275,,,
486,Tweet,StacyOh64,603,730,32,24641,,,,StacyOh64,9772,6278,464,1057275,,,
487,Tweet,nzo11,20558,16318,31,137219,,,,nzo11,9772,6278,464,1057275,,,
488,RT,RobertBandini,981,1442,0,20839,,,,SleepyDjango,1619,681,11,15181,,,
489,RT,Thed0ns1265,155,148,6,26535,,,,RT_com,3067296,618,22876,335607,,,
490,RT,pappy05983504,108,167,0,183,,,,tweetvickie,22355,20269,36,32935,,,
491,Tweet,DrewSample,1204,844,23,11471,,,,DrewSample,22355,20269,36,32935,,,
492,RT,AliSimmonds1,375,213,1,1965,,,,wjhblog,17,85,0,179,,,
493,Tweet,faster34me,1280,1383,8,24619,,,,faster34me,17,85,0,179,,,
494,Tweet,50_Shades_of_Q,5017,4878,2,14468,,,,50_Shades_of_Q,17,85,0,179,,,
495,Tweet,wjhblog,17,85,0,179,,,,wjhblog,17,85,0,179,,,
496,RT,RitaScrivner,14510,14468,6,86600,,,,tweetvickie,22355,20269,36,32935,,,
497,RT,johnbramundo,1276,1547,0,68466,,,,RealJamesWoods,2217567,5014,8977,28563,,,
498,RT,tweetvickie,22355,20269,36,32935,,,,tweetvickie,22355,20269,36,32935,,,
499,Tweet,tweetvickie,22355,20269,36,32935,,,,tweetvickie,22355,20269,36,32935,,,
500,Tweet,TabithaK,8501,1559,91,4144,,,,TabithaK,22355,20269,36,32935,,,
501,RT,Nightprowlkitty,876,1384,11,18945,,,,SleepyDjango,1619,681,11,15181,,,
502,Tweet,Hes_Heating_Up,130,457,2,3164,,,,Hes_Heating_Up,1619,681,11,15181,,,
503,RT,impalajohn_john,154,114,0,17123,,,,IpamsySands,3143,2254,2,1630,,,
504,RT,byjillyp,877,870,47,84501,,,,MetcalfeMegan,3257,4168,51,61936,,,
505,RT,proudamericanmm,7614,8227,32,89416,,,,RockySly9,6687,7054,16,92583,,,
506,RT,JEFERSONFREPRES,406,204,27,45541,,,,MetcalfeMegan,3257,4168,51,61936,,,
507,Tweet,MetcalfeMegan,3257,4168,51,61936,,,,MetcalfeMegan,3257,4168,51,61936,,,
508,RT,flugennock,2967,293,301,453307,,,,RT_com,3067296,618,22876,335607,,,
509,Tweet,plungerman,712,2386,54,77355,,,,plungerman,3067296,618,22876,335607,,,
510,RT,SonyaBa26827451,3112,4488,3,2960,,,,AGuthrie200,1637,4984,1,754,,,
511,Tweet,waborx,76,152,1,693,,,,waborx,1637,4984,1,754,,,
512,Tweet,RockySly9,6687,7054,16,92583,,,,RockySly9,1637,4984,1,754,,,
513,Tweet,AGuthrie200,1637,4984,1,754,,,,AGuthrie200,1637,4984,1,754,,,
514,Tweet,unclecharlie211,313,319,0,15217,,,,unclecharlie211,1637,4984,1,754,,,
515,RT,TheRealLynguini,1055,1197,22,13637,,,,RealJamesWoods,2217567,5014,8977,28563,,,
516,Tweet,EmpireStateCons,79,113,1,675,,,,EmpireStateCons,2217567,5014,8977,28563,,,
517,RT,SueSuebarker12,13570,14512,8,210247,,,,IpamsySands,3143,2254,2,1630,,,
518,RT,Amazon19631,34,187,0,6082,,,,RT_com,3067296,618,22876,335607,,,
519,RT,TrespassingSatr,386,706,12,14671,,,,IpamsySands,3143,2254,2,1630,,,
520,RT,Kelvorn,608,597,2,6252,,,,RT_com,3067296,618,22876,335607,,,
521,RT,Don1947Don,34,128,0,2692,,,,IpamsySands,3143,2254,2,1630,,,
522,Tweet,lorecarrascoW8,1360,1892,57,45788,,,,lorecarrascoW8,3143,2254,2,1630,,,
523,RT,Gregorygabbard,261,756,1,15145,,,,MetcalfeMegan,3257,4168,51,61936,,,
524,RT,PhxGOP,3517,3460,20,170964,,,,RT_com,3067296,618,22876,335607,,,
525,RT,hls324,1543,3317,4,8008,,,,IpamsySands,3143,2254,2,1630,,,
526,Tweet,PatrickJohnsonA,554,73,1,22101,,,,PatrickJohnsonA,3143,2254,2,1630,,,
527,Tweet,RT_com,3067296,618,22876,335607,,,,RT_com,3143,2254,2,1630,,,
528,Tweet,shipman96,11733,12905,366,176903,,,,shipman96,3143,2254,2,1630,,,
529,Tweet,MetcalfeMegan,3257,4168,51,61936,,,,MetcalfeMegan,3143,2254,2,1630,,,
530,RT,ItBernsWhenIVot,84,235,0,1706,,,,GodelieveTT,2144,1597,78,52787,,,
531,RT,Jade_Lyn_B,7299,7579,1,9311,,,,IpamsySands,3143,2254,2,1630,,,
532,RT,DreamsRestless,1437,5001,8,90667,,,,DVDV60441667,106,177,0,1818,,,
533,Tweet,spmarx,73,115,0,1470,,,,spmarx,106,177,0,1818,,,
534,RT,ShipitRideout,433,1286,8,45318,,,,reaIChapo,17,19,0,46,,,
535,RT,KayPatriot,15419,15189,5,76442,,,,IpamsySands,3143,2254,2,1630,,,
536,Tweet,shivvy,5293,5785,291,49925,,,,shivvy,3143,2254,2,1630,,,
537,RT,Digital49r,3014,4015,18,14340,,,,reaIChapo,17,19,0,46,,,
538,RT,Sniper64286433,39167,36635,24,18728,,,,IpamsySands,3143,2254,2,1630,,,
539,Tweet,DaCoach5,21,212,0,3482,,,,DaCoach5,3143,2254,2,1630,,,
540,Tweet,winlundn,633,718,1,9513,,,,winlundn,3143,2254,2,1630,,,
541,Tweet,mark_carvalho,861,1778,1,39736,,,,mark_carvalho,3143,2254,2,1630,,,
542,RT,ChimpSouth,665,778,0,11865,,,,IpamsySands,3143,2254,2,1630,,,
543,RT,cococam41,636,413,0,106636,,,,IpamsySands,3143,2254,2,1630,,,
544,RT,whatstherukkus,1723,1981,74,70414,,,,reaIChapo,17,19,0,46,,,
545,RT,NancyH01791411,14,18,0,691,,,,Banalization,1311,1380,7,9988,,,
546,RT,NancyH01791411,14,18,0,691,,,,Banalization,1311,1380,7,9988,,,
547,RT,SnailMail61,665,800,2,794,,,,reaIChapo,17,19,0,46,,,
548,RT,NancyH01791411,14,18,0,691,,,,Banalization,1311,1380,7,9988,,,
549,RT,Gerri29923255,140,219,0,2204,,,,IpamsySands,3143,2254,2,1630,,,
550,Tweet,ththornton,211,506,14,1493,,,,ththornton,3143,2254,2,1630,,,
551,RT,NancyH01791411,14,18,0,691,,,,Banalization,1311,1380,7,9988,,,
552,RT,MarkMillerLV,10179,10962,34,8354,,,,People4Bernie,180749,1468,1448,114430,,,
553,RT,thebestcloser,11802,4597,115,310455,,,,Nana_MAGA2020,4236,4994,3,55794,,,
554,RT,FrancisJRom1,1346,1579,0,14594,,,,IpamsySands,3143,2254,2,1630,,,
555,RT,JimSmit09079174,28,198,0,1060,,,,IpamsySands,3143,2254,2,1630,,,
556,Tweet,URMort,1087,1054,27,59026,,,,URMort,3143,2254,2,1630,,,
557,RT,Politigolf1,55,137,0,8778,,,,GodelieveTT,2144,1597,78,52787,,,
558,Tweet,shipman96,11733,12905,366,176903,,,,shipman96,2144,1597,78,52787,,,
559,RT,yourstruly9912,3295,3370,21,32144,,,,RedPillMaC,20455,13940,22,40896,,,
560,RT,RosieAndujar,14539,15951,32,169008,,,,IpamsySands,3143,2254,2,1630,,,
561,Tweet,j0nny5,251,174,3,15558,,,,j0nny5,3143,2254,2,1630,,,
562,RT,Jamizzle008,457,1048,8,5463,,,,reaIChapo,17,19,0,46,,,
563,RT,tamargaye,1307,2339,233,88018,,,,shepersists2,943,1271,3,27888,,,
564,Tweet,Nana_MAGA2020,4236,4994,3,55794,,,,Nana_MAGA2020,943,1271,3,27888,,,
565,RT,Posi4hope,208,677,7,10726,,,,sunbhadoo2,12,36,0,385,,,
566,RT,HydeBlizzardbox,13504,14838,494,167806,,,,SamRockford1,1211,1316,5,43,,,
