,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2755,Tweet,SunnyBorders,114,276,2,3712,,,,SunnyBorders,1458219,101,3451,18565,,,
2756,RT,electburdette,250,590,6,887,,,,ACA_Sherpa,496,598,15,5324,,,
2757,Tweet,hash_tigre,2523,2498,10,25461,,,,hash_tigre,496,598,15,5324,,,
2758,Tweet,HarryBa73750855,354,1270,1,1256,,,,HarryBa73750855,496,598,15,5324,,,
2759,Tweet,ShaundiWhitson,85,305,4,412,,,,ShaundiWhitson,496,598,15,5324,,,
2760,Tweet,Nacho_Mama78,2042,2505,4,28309,,,,Nacho_Mama78,496,598,15,5324,,,
2761,Tweet,MimiTexasAngel,3284,4392,160,267719,,,,MimiTexasAngel,496,598,15,5324,,,
2762,Tweet,SunnyBorders,114,276,2,3712,,,,SunnyBorders,496,598,15,5324,,,
2763,RT,opinions_like,23,188,0,1515,,,,AdamsEyeBalls,315,633,1,582,,,
2764,Tweet,pavadore_rich,210,88,9,19223,,,,pavadore_rich,315,633,1,582,,,
2765,Tweet,nessa1174,136,372,2,2468,,,,nessa1174,315,633,1,582,,,
2766,RT,BlueKomand,5055,5388,6,30662,,,,Americasian1,8731,7078,2,10263,,,
2767,RT,OrganicCucumber,1166,1738,18,56613,,,,mark_gander3,1780,5002,9,85401,,,
2768,Tweet,MimiTexasAngel,3284,4392,160,267719,,,,MimiTexasAngel,1780,5002,9,85401,,,
2769,RT,NoMoreElitists,15720,14922,9,224600,,,,Americasian1,8731,7078,2,10263,,,
2770,RT,mass_writer,16028,17625,587,109474,,,,blakeleymusic,2000,441,18,15905,,,
2771,RT,Reblyn1963,14318,14234,3,75738,,,,Americasian1,8731,7078,2,10263,,,
2772,Tweet,AdamsEyeBalls,315,633,1,582,,,,AdamsEyeBalls,8731,7078,2,10263,,,
2773,Tweet,BrianCa77054944,276,501,1,4117,,,,BrianCa77054944,8731,7078,2,10263,,,
2774,RT,SheilaPierce51,2254,3060,9,103695,,,,nestmojica,5,74,0,36,,,
2775,RT,BrendoMiryr,49,179,1,1891,,,,nestmojica,5,74,0,36,,,
2776,RT,Thejuicyhugo,199,2104,1,4757,,,,ShavedWookieeRN,4067,3937,5,16522,,,
2777,Tweet,MaGaFreethought,2271,3060,2,8653,,,,MaGaFreethought,4067,3937,5,16522,,,
2778,RT,spradlinok,9466,9350,93,152085,,,,TeamTrump,1458219,101,3451,18565,,,
2779,Tweet,AdamsEyeBalls,315,633,1,582,,,,AdamsEyeBalls,1458219,101,3451,18565,,,
2780,RT,emmagiroux20,571,1894,2,12915,,,,blakeleymusic,2000,441,18,15905,,,
2781,Tweet,FuckBarrel_PAC,4085,5311,260,88143,,,,FuckBarrel_PAC,2000,441,18,15905,,,
2782,Tweet,BCnumber11,325,578,4,8390,,,,BCnumber11,2000,441,18,15905,,,
2783,Tweet,marcynewman,1531,1014,133,13964,,,,marcynewman,2000,441,18,15905,,,
2784,Tweet,Gaia_Eternal,159,306,1,5610,,,,Gaia_Eternal,2000,441,18,15905,,,
2785,Tweet,hash_tigre,2523,2498,10,25461,,,,hash_tigre,2000,441,18,15905,,,
2786,Tweet,TheZenKitty1,792,2228,0,1701,,,,TheZenKitty1,2000,441,18,15905,,,
2787,RT,PinkforBernie20,255,392,44,19279,,,,bruhhnope,161,416,1,780,,,
2788,RT,Candles4Assange,1137,386,7,2322,,,,SlowNewsDayShow,2112,847,23,12672,,,
2789,Tweet,mark_gander3,1780,5002,9,85401,,,,mark_gander3,2112,847,23,12672,,,
2790,Tweet,MattAnderson922,58,66,0,477,,,,MattAnderson922,2112,847,23,12672,,,
2791,Tweet,AaronKenawell92,151,280,6,2476,,,,AaronKenawell92,2112,847,23,12672,,,
2792,Tweet,Gaia_Eternal,159,306,1,5610,,,,Gaia_Eternal,2112,847,23,12672,,,
2793,Tweet,richard_tater,4761,5230,0,13984,,,,richard_tater,2112,847,23,12672,,,
