,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
1207,RT,moodyblue82,289,306,0,8744,,,,ArianehSajadi,1235,676,1,1367,,,
1208,RT,Karlmarxhd,1832,1905,14,11001,,,,Harvard4Bernie,6822,711,35,2059,,,
1209,RT,E_Lee_T,3021,4995,52,27551,,,,RevJJackson,163491,12049,1520,50019,,,
1210,RT,jlabresh1,691,1245,42,5937,,,,RevJJackson,163491,12049,1520,50019,,,
1211,Tweet,USImpeachTrump,5497,6000,16,223946,,,,USImpeachTrump,163491,12049,1520,50019,,,
1212,Tweet,NoLeftTurns,994,2132,43,42759,,,,NoLeftTurns,163491,12049,1520,50019,,,
1213,RT,Rouncer,140,84,1,1475,,,,RevJJackson,163491,12049,1520,50019,,,
1214,RT,Gumerk,494,1596,15,4077,,,,RevJJackson,163491,12049,1520,50019,,,
1215,RT,lestersalmins,849,459,35,5609,,,,RevJJackson,163491,12049,1520,50019,,,
1216,RT,___Cole,830,425,18,108516,,,,RevJJackson,163491,12049,1520,50019,,,
1217,RT,fightBackAnon,2416,2489,97,104488,,,,Harvard4Bernie,6822,711,35,2059,,,
1218,RT,Rodd62524319,196,953,1,67634,,,,RevJJackson,163491,12049,1520,50019,,,
1219,RT,nadiabambirra,36699,5260,52,160270,,,,RevJJackson,163491,12049,1520,50019,,,
1220,RT,HydrakMusic,115,371,7,3372,,,,RevJJackson,163491,12049,1520,50019,,,
1221,RT,PryceCyn,2497,2459,112,43084,,,,RevJJackson,163491,12049,1520,50019,,,
1222,Tweet,Penny_J_Thomas,2354,3228,13,32922,,,,Penny_J_Thomas,163491,12049,1520,50019,,,
1223,RT,MusingsMa,2952,3488,0,27241,,,,DavePowersG,2164,4385,9,33679,,,
1224,RT,DhiaGilgamesh,10,10,0,128,,,,RevJJackson,163491,12049,1520,50019,,,
1225,Tweet,hollyIve,996,1334,0,17918,,,,hollyIve,163491,12049,1520,50019,,,
1226,RT,vidalguzmanpr,237,707,6,6711,,,,RevJJackson,163491,12049,1520,50019,,,
1227,RT,BroyakPR,145,1825,1,2972,,,,RevJJackson,163491,12049,1520,50019,,,
1228,RT,rcasucci,398,1515,27,1987,,,,RevJJackson,163491,12049,1520,50019,,,
1229,RT,EggMandola80,43,265,1,657,,,,RevJJackson,163491,12049,1520,50019,,,
1230,RT,stacydavisgates,4725,1116,59,24008,,,,RevJJackson,163491,12049,1520,50019,,,
1231,RT,RDev74147,597,1142,5,21202,,,,Harvard4Bernie,6822,711,35,2059,,,
1232,Tweet,DavePowersG,2164,4385,9,33679,,,,DavePowersG,6822,711,35,2059,,,
1233,Tweet,bernieforbernie,1076,1680,54,9250,,,,bernieforbernie,6822,711,35,2059,,,
1234,RT,SweetTweettDude,884,1892,75,68616,,,,RevJJackson,163491,12049,1520,50019,,,
1235,Tweet,NormanGYoung,390,467,23,20923,,,,NormanGYoung,163491,12049,1520,50019,,,
1236,RT,RandallSnyderJr,83,1141,7,5788,,,,RevJJackson,163491,12049,1520,50019,,,
1237,RT,feminazgul,969,87,62,138967,,,,RevJJackson,163491,12049,1520,50019,,,
1238,RT,stretch4030,24,133,1,1285,,,,RevJJackson,163491,12049,1520,50019,,,
1239,RT,rchoroma,828,4236,3,8041,,,,RevJJackson,163491,12049,1520,50019,,,
1240,RT,NRGworkerMarc,20,183,0,149,,,,RevJJackson,163491,12049,1520,50019,,,
1241,RT,smarille,32,111,0,144,,,,RevJJackson,163491,12049,1520,50019,,,
1242,RT,_Constable_Odo_,178,1174,4,1819,,,,RevJJackson,163491,12049,1520,50019,,,
1243,RT,JimMaes6,3,62,0,34,,,,RevJJackson,163491,12049,1520,50019,,,
1244,RT,Loboamericano67,42,220,0,4680,,,,RevJJackson,163491,12049,1520,50019,,,
1245,RT,EdwardBallew3,117,312,2,5169,,,,DrJillStein,270508,1660,3648,13798,,,
1246,Tweet,insunlite,311,1092,38,41133,,,,insunlite,270508,1660,3648,13798,,,
1247,RT,igoymillan,525,1392,5,16402,,,,RevJJackson,163491,12049,1520,50019,,,
1248,RT,Knob711,56,445,0,6741,,,,RevJJackson,163491,12049,1520,50019,,,
1249,RT,Aris_Rod_09,30,88,0,267,,,,RevJJackson,163491,12049,1520,50019,,,
1250,RT,SaraGomezAranci,2061,506,1138,814361,,,,CartooningPeace,19087,952,575,6562,,,
1251,RT,Sam6869,1550,2896,8,90460,,,,RevJJackson,163491,12049,1520,50019,,,
1252,RT,Prog_Blacksmith,4230,1791,20,126389,,,,Harvard4Bernie,6822,711,35,2059,,,
1253,RT,pulsorock,1257,212,64,2719,,,,RevJJackson,163491,12049,1520,50019,,,
1254,RT,gbutts42,20,171,0,872,,,,RevJJackson,163491,12049,1520,50019,,,
1255,RT,Pdail68,1357,2518,2,12079,,,,RevJJackson,163491,12049,1520,50019,,,
1256,RT,Adam_Baumel,2118,1382,18,6472,,,,RevJJackson,163491,12049,1520,50019,,,
1257,RT,FemiOgunrinu,95,38,0,2219,,,,RevJJackson,163491,12049,1520,50019,,,
1258,RT,magapanthus,1870,2097,140,314349,,,,RevJJackson,163491,12049,1520,50019,,,
1259,RT,ahelpfulbear,133,479,1,2378,,,,RevJJackson,163491,12049,1520,50019,,,
1260,RT,philnluvly,76,130,1,650,,,,RevJJackson,163491,12049,1520,50019,,,
1261,RT,Garbochat,297,604,13,19941,,,,RevJJackson,163491,12049,1520,50019,,,
1262,RT,aj_kristian,39,99,0,972,,,,RevJJackson,163491,12049,1520,50019,,,
1263,RT,pjaro62,2162,4995,23,24482,,,,RevJJackson,163491,12049,1520,50019,,,
1264,RT,obliteratedhope,190,804,3,17261,,,,RevJJackson,163491,12049,1520,50019,,,
1265,Tweet,KNReddy_WB_FDA,747,183,6,29822,,,,KNReddy_WB_FDA,163491,12049,1520,50019,,,
1266,RT,breen1646,174,456,2,18288,,,,RevJJackson,163491,12049,1520,50019,,,
