A_handle,B_handle,type
itisyaya,StanleyRoberts,RT
Harlem19therare,StanleyRoberts,RT
FlatEarthBro,FlatEarthBro,Tweet
Trilluminarian,Trilluminarian,Tweet
PeaceWTF,PeaceWTF,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
iebaby,StanleyRoberts,RT
BenSonicz,BenSonicz,Tweet
LunchMoney_Al,TheShonkyLab,RT
SmokeBreakMusic,TrustFlatEarth,RT
