,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
1403,RT,kawstanley,11226,11032,27,40130,,,,Adjustedwell,23738,22896,148,82739,,,
1404,Tweet,No_Democrats,81692,16294,1296,1291,,,,No_Democrats,23738,22896,148,82739,,,
1405,RT,BillWes76233793,2978,4989,2,43484,,,,Adjustedwell,23738,22896,148,82739,,,
1406,Tweet,idolno1,98,168,3,11181,,,,idolno1,23738,22896,148,82739,,,
1407,RT,Mike03190678,293,914,0,5537,,,,Adjustedwell,23738,22896,148,82739,,,
1408,RT,TimRyanTalbot,100,79,0,17138,,,,buttersflykiss,20504,20766,5,17819,,,
1409,RT,ritaalynch21,262,272,0,19593,,,,GlenWoodfin,74930,56608,899,73578,,,
1410,RT,hanneloremorto5,5251,5228,0,17717,,,,TrueNewsGlobal,53323,53008,604,9010,,,
1411,RT,DaniWil85158128,138,325,0,3311,,,,GlenWoodfin,74930,56608,899,73578,,,
1412,RT,MenopauseMaddy,1030,889,0,35966,,,,Adjustedwell,23738,22896,148,82739,,,
1413,RT,CathyEarlypond,1435,1782,0,6035,,,,GlenWoodfin,74930,56608,899,73578,,,
1414,RT,Donnaj296,5143,5464,1,25530,,,,Adjustedwell,23738,22896,148,82739,,,
1415,RT,Crazy_xxxpet,26,45,0,2282,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1416,RT,CaughellDenise,276,727,0,4990,,,,Adjustedwell,23738,22896,148,82739,,,
1417,RT,ReherVb,2418,2520,0,6153,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1418,RT,monica_sassy,44769,44888,6,154756,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1419,RT,_MAGA_KAG_TRUTH,7339,7489,38,65949,,,,Adjustedwell,23738,22896,148,82739,,,
1420,RT,SusieQWWG1WGA,1283,1262,0,5900,,,,GlenWoodfin,74930,56608,899,73578,,,
1421,RT,LuvGrammyLife,941,1082,0,30022,,,,GlenWoodfin,74930,56608,899,73578,,,
1422,RT,MitchkoConnie,253,942,18,14652,,,,buttersflykiss,20504,20766,5,17819,,,
1423,RT,Patrick19531,5498,5842,0,48978,,,,Adjustedwell,23738,22896,148,82739,,,
