,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
64,RT,Terri55364130,3647,3312,5,116658,,,,missjaydee23,1860,2036,52,26438,,,
65,Tweet,scopesotoscope,238,531,2,22017,,,,scopesotoscope,1860,2036,52,26438,,,
66,Tweet,cynicaladhoc,12,34,0,976,,,,cynicaladhoc,1860,2036,52,26438,,,
67,Tweet,HelenIntile,205,199,0,19982,,,,HelenIntile,1860,2036,52,26438,,,
68,RT,Hellkell001,1242,1377,1,9710,,,,BuckSexton,306398,1484,2447,31362,,,
69,Tweet,sperrydaniel94,956,1901,22,33063,,,,sperrydaniel94,306398,1484,2447,31362,,,
70,RT,lu73511250,196,88,0,34520,,,,RealSheilaZ,30985,1406,83,2793,,,
71,Tweet,SteveRDaugh,289,345,13,102816,,,,SteveRDaugh,30985,1406,83,2793,,,
72,Tweet,JLDixon7,304,222,31,29544,,,,JLDixon7,30985,1406,83,2793,,,
73,RT,DennisUAskey,803,1978,214,26254,,,,Dudley_D_R,17404,17756,10,3699,,,
74,RT,LeftyBotty,692,17,17,72767,,,,JillPiggott,1141,1314,22,17722,,,
75,Tweet,JillPiggott,1141,1314,22,17722,,,,JillPiggott,1141,1314,22,17722,,,
76,Tweet,JillPiggott,1141,1314,22,17722,,,,JillPiggott,1141,1314,22,17722,,,
77,RT,Maw2Tu,1210,1915,2,43089,,,,missjaydee23,1860,2036,52,26438,,,
78,Tweet,mythtv_king,46,1405,1,16797,,,,mythtv_king,1860,2036,52,26438,,,
79,RT,hilda_brand,4058,4514,20,168634,,,,DustieDahl,41746,40290,9,152419,,,
80,RT,BunkerfunkJoy,593,584,51,53276,,,,SallyGirlUSA,4927,3783,13,13087,,,
81,RT,TerriGraf1,9553,10473,9,41398,,,,missjaydee23,1860,2036,52,26438,,,
82,RT,Farmore1Moore,52,55,0,15761,,,,missjaydee23,1860,2036,52,26438,,,
83,Tweet,Lovemypresiden4,7149,7417,5,155110,,,,Lovemypresiden4,1860,2036,52,26438,,,
84,Tweet,vidrep1,69,103,1,6704,,,,vidrep1,1860,2036,52,26438,,,
85,Tweet,TabletopiaGames,3300,826,82,1369,,,,TabletopiaGames,1860,2036,52,26438,,,
86,RT,Chris15332308,64,131,0,4051,,,,missjaydee23,1860,2036,52,26438,,,
87,RT,DanBcoin1,27,244,0,175,,,,missjaydee23,1860,2036,52,26438,,,
88,Tweet,shanenof4,432,1572,1,26728,,,,shanenof4,1860,2036,52,26438,,,
89,RT,dugovics,439,634,4,98937,,,,Mimirocah1,388492,2536,2160,12984,,,
90,Tweet,Buddahfan,703,331,153,264362,,,,Buddahfan,388492,2536,2160,12984,,,
91,RT,HamlettCharlot1,1040,1076,1,16535,,,,missjaydee23,1860,2036,52,26438,,,
92,Tweet,BomberLC,134,102,0,1027,,,,BomberLC,1860,2036,52,26438,,,
93,Tweet,VictorKim831,2,10,0,93,,,,VictorKim831,1860,2036,52,26438,,,
94,Tweet,BomberLC,134,102,0,1027,,,,BomberLC,1860,2036,52,26438,,,
95,Tweet,relocateromania,1545,4013,11,21446,,,,relocateromania,1860,2036,52,26438,,,
96,RT,pboud5515,170,306,2,25878,,,,Mimirocah1,388492,2536,2160,12984,,,
97,Tweet,JanemNow,134,106,2,5951,,,,JanemNow,388492,2536,2160,12984,,,
98,RT,Pathick62694809,44,72,2,4985,,,,missjaydee23,1860,2036,52,26438,,,
99,RT,MaryShriver5,203,220,0,4288,,,,missjaydee23,1860,2036,52,26438,,,
100,Tweet,BradMil67114539,830,858,1,12405,,,,BradMil67114539,1860,2036,52,26438,,,
101,Tweet,danrapp,426,604,9,2023,,,,danrapp,1860,2036,52,26438,,,
102,RT,CourtneyMontgo6,1560,361,2,6271,,,,missjaydee23,1860,2036,52,26438,,,
103,RT,TransformNow2Q,10439,11418,6,90953,,,,missjaydee23,1860,2036,52,26438,,,
104,RT,pboud5515,170,306,2,25878,,,,emptywheel,220601,4308,4869,271462,,,
105,Tweet,Yapo_el_guapo,347,1154,1,28452,,,,Yapo_el_guapo,220601,4308,4869,271462,,,
106,RT,micasth87,3940,3247,11,169920,,,,missjaydee23,1860,2036,52,26438,,,
107,RT,NJR_PRChica,60,147,0,607,,,,missjaydee23,1860,2036,52,26438,,,
108,RT,dianamf4thekids,439,391,1,9572,,,,missjaydee23,1860,2036,52,26438,,,
109,RT,rm1268,4933,4466,386,298296,,,,Mimirocah1,388492,2536,2160,12984,,,
110,Tweet,Beakybasil,2634,2630,15,39845,,,,Beakybasil,388492,2536,2160,12984,,,
111,RT,Samuraisurfer53,11833,11733,29,60172,,,,DudekLinda,4554,4993,7,157108,,,
112,RT,PattyLehner,11011,12029,12,178696,,,,DudekLinda,4554,4993,7,157108,,,
113,RT,YankeeMike015,289,1436,0,78270,,,,Mimirocah1,388492,2536,2160,12984,,,
114,RT,liskaaz,1216,4896,12,372365,,,,emptywheel,220601,4308,4869,271462,,,
115,Tweet,musingsbymark,56,667,0,2679,,,,musingsbymark,220601,4308,4869,271462,,,
